"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"mshidkmdf","Pass-through HID to KMDF Filter Driver","Pass-through HID to KMDF Filter Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:37","C:\Windows\system32\drivers\mshidkmdf.sys","0"
"mshidumdf","Pass-through HID to UMDF Driver","Pass-through HID to UMDF Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:37","C:\Windows\system32\drivers\mshidumdf.sys","0"
"MSKSSRV","Microsoft Streaming Service Proxy","Microsoft Streaming Service Proxy","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:41","C:\Windows\system32\drivers\MSKSSRV.sys","0"
"MsLldp","Microsoft Link-Layer Discovery Protocol","Microsoft Link-Layer Discovery Protocol","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:12:03","C:\Windows\system32\DRIVERS\mslldp.sys","0"
"MSPCLOCK","Microsoft Streaming Clock Proxy","Microsoft Streaming Clock Proxy","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:41","C:\Windows\system32\drivers\MSPCLOCK.sys","0"
"MSPQM","Microsoft Streaming Quality Manager Proxy","Microsoft Streaming Quality Manager Proxy","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:41","C:\Windows\system32\drivers\MSPQM.sys","0"
"MsRPC","MsRPC","MsRPC","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:37","C:\Windows\system32\drivers\MsRPC.sys","0"
"mssmbios","Microsoft System Management BIOS Driver","Microsoft System Management BIOS Driver","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:47","C:\Windows\system32\drivers\mssmbios.sys","0"
"MSTEE","Microsoft Streaming Tee/Sink-to-Sink Converter","Microsoft Streaming Tee/Sink-to-Sink Converter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:12","C:\Windows\system32\drivers\MSTEE.sys","0"
"MTConfig","Microsoft Input Configuration Driver","Microsoft Input Configuration Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:12:45","C:\Windows\system32\drivers\MTConfig.sys","0"
"Mup","Mup","Mup","File System ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:14:13","C:\Windows\system32\Drivers\mup.sys","0"
"NativeWifiP","NativeWiFi Filter","NativeWiFi Filter","Kernel ","Auto","Running","OK","TRUE","FALSE","0","0","0","2013-09-11 10:30:58","C:\Windows\system32\DRIVERS\nwifi.sys","0"
"NDIS","NDIS System Driver","NDIS System Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-09-21 08:56:08","C:\Windows\system32\drivers\ndis.sys","0"
"NdisCap","Microsoft NDIS Capture","Microsoft NDIS Capture","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:03","C:\Windows\system32\DRIVERS\ndiscap.sys","0"
"NdisImPlatform","Microsoft Network Adapter Multiplexor Protocol","Microsoft Network Adapter Multiplexor Protocol","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:12:06","C:\Windows\system32\DRIVERS\NdisImPlatform.sys","0"
"Ndisuio","NDIS Usermode I/O Protocol","NDIS Usermode I/O Protocol","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:48","C:\Windows\system32\DRIVERS\ndisuio.sys","0"
"NdisVirtualBus","Microsoft Virtual Network Adapter Enumerator","Microsoft Virtual Network Adapter Enumerator","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:10","C:\Windows\system32\drivers\NdisVirtualBus.sys","0"
"NdisWan","Remote Access NDIS WAN Driver","Remote Access NDIS WAN Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:11:46","C:\Windows\system32\DRIVERS\ndiswan.sys","0"
